intersect_bp,f_orig_query,f_match,f_unique_to_query,f_unique_weighted,average_abund,median_abund,std_abund,filename,name,md5,f_match_orig,unique_intersect_bp,gather_result_rank,remaining_bp,query_filename,query_name,query_md5,query_bp,ksize,moltype,scaled,query_n_hashes,query_abundance,query_containment_ani,match_containment_ani,average_containment_ani,max_containment_ani,potential_false_negative,n_unique_weighted_found,sum_weighted_found,total_weighted_hashes,lineage
1027000,0.04484324513142957,0.1818020888652859,0.04484324513142957,0.05137664556716244,1.2882181110029212,1.0,1.0267538201292863,/tmp/nxf.XXXX0nBFNN/sourmash_database/genbank-2022.03-bacteria-k51.zip,"GCA_020560185.1 Phocaeicola vulgatus strain=DFI.5.25, ASM2056018v1",5a2c20c537b57803510d64989fb19912,0.1818020888652859,1027000,0,16943000,ERR480938.fastq.gz,ERR480938,10ec0226,22902000,51,DNA,1000,22902,True,0.9409416376169153,0.9671243784676802,0.9540330080422977,0.9671243784676802,False,1323,1323,25751,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Phocaeicola;Phocaeicola vulgatus
754000,0.03292288883066981,0.01894868858716397,0.030346694611824297,0.03215409110325813,1.1913669064748202,1.0,0.5222367519543879,/tmp/nxf.XXXX0nBFNN/sourmash_database/genbank-2022.03-protozoa-k51.zip,"GCA_002893375.1 Cyclospora cayetanensis strain=CDC:HCVA02:15, ASM289337v1",f1e29b0b106063a5c1fb67e891611659,0.020557282294563498,695000,1,16248000,ERR480938.fastq.gz,ERR480938,10ec0226,22902000,51,DNA,1000,22902,True,0.9352577853373278,0.9266610227023244,0.9309594040198261,0.9352577853373278,False,828,2151,25751,Eukaryota;Apicomplexa;Conoidasida;Eucoccidiorida;Eimeriidae;Cyclospora;Cyclospora cayetanensis
679000,0.029648065671120428,0.23441828254847646,0.029560737053532442,0.03953244534192847,1.5036927621861151,1.0,0.8723901937010654,/tmp/nxf.XXXX0nBFNN/sourmash_database/genbank-2022.03-bacteria-k51.zip,"GCA_015559785.1 [Eubacterium] siraeum strain=D41t1_190614_D7, ASM1555978v1",9f8d36a98fa0d195ef352b8559445911,0.23511080332409973,677000,2,15571000,ERR480938.fastq.gz,ERR480938,10ec0226,22902000,51,DNA,1000,22902,True,0.9333384218699224,0.9720128615157637,0.952675641692843,0.9720128615157637,False,1018,3169,25751,Bacteria;Firmicutes;Clostridia;Eubacteriales;Oscillospiraceae;;[Eubacterium] siraeum
620000,0.02707187145227491,0.10696692470091484,0.026547899746747008,0.031338588792668244,1.3273026315789473,1.0,0.7253252177968323,/tmp/nxf.XXXX0nBFNN/sourmash_database/genbank-2022.03-bacteria-k51.zip,"GCA_001406495.1 [Ruminococcus] torques strain=2789STDY5834965, 14207_7#88",02feeea61bc4b5c6ae5aad1ca5afb9ea,0.10907811400422238,608000,3,14963000,ERR480938.fastq.gz,ERR480938,10ec0226,22902000,51,DNA,1000,22902,True,0.9316763348808578,0.9574852892166122,0.944580812048735,0.9574852892166122,False,807,3976,25751,Bacteria;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Mediterraneibacter;[Ruminococcus] torques
620000,0.02707187145227491,0.12196765498652291,0.023709719675137544,0.023843734223913636,1.130755064456722,1.0,0.39731231116498855,/tmp/nxf.XXXX0nBFNN/sourmash_database/genbank-2022.03-bacteria-k51.zip,"GCA_015557855.1 Phocaeicola massiliensis strain=1001275B_160808_C5, ASM1555785v1",49948aaa68cedc02ebf469142236a867,0.13926325247079965,543000,4,14420000,ERR480938.fastq.gz,ERR480938,10ec0226,22902000,51,DNA,1000,22902,True,0.9316763348808578,0.9620828677926835,0.9468796013367706,0.9620828677926835,False,614,4590,25751,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Phocaeicola;Phocaeicola massiliensis
529000,0.023098419352021657,0.2861005949161709,0.023098419352021657,0.02458156964778067,1.1965973534971646,1.0,0.4673738626397697,/tmp/nxf.XXXX0nBFNN/sourmash_database/genbank-2022.03-bacteria-k51.zip,"GCA_900540575.1 uncultured Ruminococcaceae bacterium, UMGS264",f72ac1a2cfeba3b476135b3cbf764997,0.2861005949161709,529000,5,13891000,ERR480938.fastq.gz,ERR480938,10ec0226,22902000,51,DNA,1000,22902,True,0.9287811180231426,0.9757611105929863,0.9522711143080644,0.9757611105929863,False,633,5223,25751,Bacteria;Firmicutes;Clostridia;Eubacteriales;Oscillospiraceae;;uncultured Oscillospiraceae bacterium
485000,0.021177189765086018,0.10476190476190476,0.018731988472622477,0.018795386586928663,1.1282051282051282,1.0,0.5198814593878044,/tmp/nxf.XXXX0nBFNN/sourmash_database/genbank-2022.03-bacteria-k51.zip,"GCA_015551965.1 Bacteroides stercoris strain=1001136B_160425_B8, ASM1555196v1",36646ac49124a24289d597815fa0d75f,0.11843711843711843,429000,6,13462000,ERR480938.fastq.gz,ERR480938,10ec0226,22902000,51,DNA,1000,22902,True,0.9272009945361708,0.9590319917146387,0.9431164931254048,0.9590319917146387,False,484,5707,25751,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides stercoris
540000,0.023578726748755566,0.14106375949785266,0.018644659855034496,0.021358393848782572,1.288056206088993,1.0,0.74590072022267,/tmp/nxf.XXXX0nBFNN/sourmash_database/genbank-2022.03-bacteria-k51.zip,"GCA_000154385.1 Faecalibacterium prausnitzii M21/2 strain=M21/2, ASM15438v1",d5ef05d827427ee286b4fc89524d1962,0.17839444995044598,427000,7,13035000,ERR480938.fastq.gz,ERR480938,10ec0226,22902000,51,DNA,1000,22902,True,0.92915599704443,0.9667656312183793,0.9479608141314046,0.9667656312183793,False,550,6257,25751,Bacteria;Firmicutes;Clostridia;Eubacteriales;Oscillospiraceae;Faecalibacterium;Faecalibacterium prausnitzii;Faecalibacterium prausnitzii M21/2
409000,0.01785870229674264,0.14040728831725616,0.017160073356038773,0.01751388295600171,1.147582697201018,1.0,0.40806189834542844,/tmp/nxf.XXXX0nBFNN/sourmash_database/gtdb-rs214-reps.k51.zip,"GCA_018228685.1 Clostridiaceae bacterium Marseille-Q4149 strain=Marseille-Q4149, ASM1822868v1",1bba9d7c75b903b81673df1b6344def2,0.14612361557699177,393000,8,12642000,ERR480938.fastq.gz,ERR480938,10ec0226,22902000,51,DNA,1000,22902,True,0.9241076107479778,0.9629904246725893,0.9435490177102835,0.9629904246725893,False,451,6708,25751,Bacteria;Firmicutes;Clostridia;Eubacteriales;Clostridiaceae;;Clostridiaceae bacterium Marseille-Q4149
389000,0.016985416120862806,0.08615076383671424,0.015020522225133176,0.015533377344569143,1.1627906976744187,1.0,0.4409415168804312,/tmp/nxf.XXXX0nBFNN/sourmash_database/genbank-2022.03-bacteria-k51.zip,"GCA_015558055.1 Roseburia faecis strain=1001271B_151109_E4, ASM1555805v1",1e923f58c350ddcacd164830e486d4ce,0.09742048585023792,344000,9,12298000,ERR480938.fastq.gz,ERR480938,10ec0226,22902000,51,DNA,1000,22902,True,0.9231996083874869,0.9553656308693096,0.9392826196283983,0.9553656308693096,False,400,7108,25751,Bacteria;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Roseburia;Roseburia faecis
